comment_id,ai_polarity,ai_emotion
C00008,Negative,Anger/Condemnation
C00014,Negative,Victim-blaming
C00016,Negative,Victim-blaming
C00019,Negative,Anger/Condemnation
C00026,Negative,Anger/Condemnation
C00040,Negative,Victim-blaming
C00049,Negative,Victim-blaming
C00053,Negative,Victim-blaming
C00060,Negative,Anger/Condemnation
C00069,Negative,Victim-blaming
C00073,Neutral,Neutral-Other
C00075,Negative,Anger/Condemnation
C00078,Negative,Anger/Condemnation
C00084,Negative,Anger/Condemnation
C00092,Negative,Victim-blaming
C00093,Negative,Victim-blaming
C00098,Negative,Anger/Condemnation
C00105,Positive,Prayer/Religious
C00113,Positive,Prayer/Religious
C00116,Negative,Anger/Condemnation
C00123,Neutral,Neutral-Other
C00125,Negative,Grief/Sympathy
C00128,Neutral,Prayer/Religious
C00146,Positive,Neutral-Other
C00158,Negative,Grief/Sympathy
C00160,Neutral,Neutral-Other
C00162,Negative,Anger/Condemnation
C00169,Neutral,Neutral-Other
C00171,Positive,Prayer/Religious
C00177,Negative,Grief/Sympathy
C00180,Negative,Anger/Condemnation
C00184,Negative,Victim-blaming
C00191,Negative,Victim-blaming
C00194,Negative,Victim-blaming
C00199,Neutral,Neutral-Other
C00203,Negative,Victim-blaming
C00215,Negative,Grief/Sympathy
C00221,Negative,Victim-blaming
C00223,Negative,Victim-blaming
C00225,Negative,Victim-blaming
C00231,Negative,Victim-blaming
C00238,Negative,Prayer/Religious
C00241,Negative,Grief/Sympathy
C00242,Neutral,Prayer/Religious
C00251,Negative,Victim-blaming
C00255,Negative,Neutral-Other
C00258,Negative,Victim-blaming
C00260,Negative,Victim-blaming
C00261,Negative,Grief/Sympathy
C00264,Neutral,Neutral-Other
C00268,Negative,Anger/Condemnation
C00274,Neutral,Prayer/Religious
C00279,Negative,Victim-blaming
C00283,Neutral,Prayer/Religious
C00289,Negative,Victim-blaming
C00303,Negative,Victim-blaming
C00311,Negative,Anger/Condemnation
C00325,Negative,Victim-blaming
C00331,Negative,Victim-blaming
C00332,Negative,Anger/Condemnation
C00337,Negative,Victim-blaming
C00344,Negative,Victim-blaming
C00360,Negative,Anger/Condemnation
C00361,Negative,Anger/Condemnation
C00372,Neutral,Neutral-Other
C00377,Negative,Anger/Condemnation
C00382,Negative,Anger/Condemnation
C00383,Negative,Anger/Condemnation
C00384,Negative,Anger/Condemnation
C00387,Negative,Victim-blaming
C00392,Negative,Grief/Sympathy
C00396,Negative,Anger/Condemnation
C00403,Negative,Anger/Condemnation
C00406,Negative,Anger/Condemnation
C00414,Positive,Neutral-Other
C00418,Neutral,Prayer/Religious
C00424,Negative,Victim-blaming
C00428,Positive,Prayer/Religious
C00432,Negative,Neutral-Other
C00433,Negative,Anger/Condemnation
C00434,Negative,Victim-blaming
C00437,Negative,Anger/Condemnation
C00442,Negative,Anger/Condemnation
C00451,Negative,Grief/Sympathy
C00465,Negative,Anger/Condemnation
C00466,Negative,Anger/Condemnation
C00482,Negative,Anger/Condemnation
C00485,Negative,Anger/Condemnation
C00497,Neutral,Neutral-Other
C00519,Negative,Anger/Condemnation
C00521,Negative,Anger/Condemnation
C00536,Neutral,Neutral-Other
C00549,Negative,Anger/Condemnation
C00568,Negative,Victim-blaming
C00574,Negative,Anger/Condemnation
C00584,Negative,Anger/Condemnation
C00586,Neutral,Neutral-Other
C00590,Negative,Neutral-Other
C00595,Negative,Grief/Sympathy
C00609,Negative,Anger/Condemnation
C00615,Negative,Anger/Condemnation
C00616,Negative,Anger/Condemnation
C00617,Negative,Neutral-Other
C00624,Negative,Anger/Condemnation
C00630,Negative,Anger/Condemnation
C00631,Negative,Anger/Condemnation
C00632,Negative,Anger/Condemnation
C00635,Negative,Anger/Condemnation
C00636,Positive,Neutral-Other
C00637,Negative,Anger/Condemnation
C00638,Negative,Anger/Condemnation
C00640,Negative,Anger/Condemnation
C00651,Negative,Victim-blaming
C00653,Negative,Victim-blaming
C00655,Neutral,Neutral-Other
C00659,Positive,Neutral-Other
C00677,Negative,Victim-blaming
C00679,Negative,Anger/Condemnation
C00680,Neutral,Neutral-Other
C00682,Negative,Victim-blaming
C00684,Neutral,Neutral-Other
C00692,Negative,Victim-blaming
C00696,Positive,Neutral-Other
C00700,Negative,Neutral-Other
C00701,Negative,Anger/Condemnation
C00709,Negative,Grief/Sympathy
C00715,Negative,Grief/Sympathy
C00717,Negative,Anger/Condemnation
C00722,Negative,Victim-blaming
C00730,Negative,Anger/Condemnation
C00742,Negative,Grief/Sympathy
C00750,Negative,Anger/Condemnation
C00752,Positive,Prayer/Religious
C00757,Neutral,Neutral-Other
C00762,Negative,Grief/Sympathy
C00763,Negative,Anger/Condemnation
C00766,Negative,Anger/Condemnation
C00772,Negative,Anger/Condemnation
C00776,Positive,Prayer/Religious
C00784,Negative,Neutral-Other
C00786,Negative,Anger/Condemnation
C00789,Positive,Prayer/Religious
C00791,Negative,Anger/Condemnation
C00801,Positive,Prayer/Religious
C00804,Neutral,Prayer/Religious
C00813,Neutral,Neutral-Other
C00819,Negative,Anger/Condemnation
C00828,Negative,Anger/Condemnation
C00831,Positive,Prayer/Religious
C00837,Negative,Anger/Condemnation
C00839,Neutral,Neutral-Other
C00844,Positive,Prayer/Religious
C00857,Positive,Prayer/Religious
C00860,Negative,Victim-blaming
C00864,Negative,Anger/Condemnation
C00869,Negative,Anger/Condemnation
C00872,Negative,Grief/Sympathy
C00880,Negative,Grief/Sympathy
C00884,Negative,Grief/Sympathy
C00892,Negative,Anger/Condemnation
C00896,Negative,Anger/Condemnation
C00898,Neutral,Neutral-Other
C00901,Negative,Anger/Condemnation
C00913,Negative,Anger/Condemnation
C00928,Negative,Victim-blaming
C00934,Negative,Anger/Condemnation
C00936,Negative,Anger/Condemnation
C00937,Negative,Anger/Condemnation
C00944,Negative,Grief/Sympathy
C00949,Negative,Anger/Condemnation
C00951,Neutral,Neutral-Other
C00952,Negative,Anger/Condemnation
C00956,Positive,Neutral-Other
C00962,Negative,Anger/Condemnation
C00967,Neutral,Neutral-Other
C00974,Positive,Neutral-Other
C00983,Negative,Anger/Condemnation
C00986,Negative,Grief/Sympathy
C00988,Negative,Anger/Condemnation
C00989,Negative,Anger/Condemnation
C00996,Negative,Neutral-Other
C00998,Negative,Anger/Condemnation
C01002,Negative,Anger/Condemnation
C01004,Neutral,Neutral-Other
C01005,Neutral,Neutral-Other
C01010,Negative,Anger/Condemnation
C01013,Negative,Anger/Condemnation
C01018,Neutral,Neutral-Other
C01022,Negative,Anger/Condemnation
C01026,Negative,Neutral-Other
C01033,Negative,Grief/Sympathy
C01034,Neutral,Prayer/Religious
C01039,Neutral,Neutral-Other
C01040,Negative,Prayer/Religious
C01043,Neutral,Neutral-Other
C01044,Negative,Victim-blaming
C01051,Negative,Anger/Condemnation
C01055,Negative,Anger/Condemnation
C01056,Negative,Anger/Condemnation
C01066,Negative,Grief/Sympathy
C01067,Neutral,Neutral-Other
C01076,Negative,Anger/Condemnation
C01077,Neutral,Neutral-Other
C01078,Negative,Anger/Condemnation
C01079,Negative,Anger/Condemnation
C01080,Negative,Neutral-Other
C01090,Negative,Anger/Condemnation
C01096,Negative,Grief/Sympathy
C01097,Neutral,Neutral-Other
C01105,Negative,Anger/Condemnation
C01106,Negative,Anger/Condemnation
C01121,Negative,Victim-blaming
C01123,Negative,Neutral-Other
C01127,Negative,Anger/Condemnation
C01135,Negative,Neutral-Other
C01145,Neutral,Neutral-Other
C01150,Negative,Anger/Condemnation
C01153,Negative,Neutral-Other
C01160,Negative,Grief/Sympathy
C01164,Neutral,Neutral-Other
C01187,Positive,Prayer/Religious
C01188,Negative,Victim-blaming
C01190,Positive,Neutral-Other
C01194,Negative,Grief/Sympathy
C01199,Negative,Victim-blaming
C01209,Neutral,Neutral-Other
C01210,Neutral,Neutral-Other
C01216,Neutral,Neutral-Other
C01221,Negative,Victim-blaming
C01229,Neutral,Neutral-Other
C01234,Neutral,Neutral-Other
C01235,Negative,Victim-blaming
C01237,Neutral,Neutral-Other
C01238,Neutral,Neutral-Other
C01246,Neutral,Neutral-Other
C01253,Neutral,Neutral-Other
C01256,Neutral,Neutral-Other
C01263,Negative,Neutral-Other
C01266,Negative,Anger/Condemnation
C01268,Negative,Anger/Condemnation
C01270,Negative,Neutral-Other
C01271,Negative,Neutral-Other
C01277,Negative,Anger/Condemnation
C01278,Neutral,Neutral-Other
C01280,Negative,Neutral-Other
C01282,Negative,Victim-blaming
C01284,Negative,Anger/Condemnation
C01288,Negative,Grief/Sympathy
C01289,Negative,Grief/Sympathy
C01301,Neutral,Neutral-Other
C01302,Negative,Anger/Condemnation
C01303,Negative,Prayer/Religious
C01305,Neutral,Neutral-Other
C01315,Neutral,Neutral-Other
C01325,Negative,Anger/Condemnation
C01340,Negative,Anger/Condemnation
C01344,Negative,Grief/Sympathy
C01351,Neutral,Neutral-Other
C01353,Negative,Anger/Condemnation
C01360,Neutral,Neutral-Other
C01361,Negative,Grief/Sympathy
C01362,Negative,Prayer/Religious
C01365,Positive,Neutral-Other
C01374,Negative,Anger/Condemnation
C01377,Negative,Anger/Condemnation
C01384,Negative,Prayer/Religious
C01393,Neutral,Neutral-Other
C01399,Negative,Victim-blaming
C01408,Negative,Neutral-Other
C01411,Negative,Neutral-Other
C01415,Negative,Anger/Condemnation
C01416,Negative,Anger/Condemnation
C01423,Negative,Anger/Condemnation
C01430,Neutral,Neutral-Other
C01433,Negative,Prayer/Religious
C01434,Negative,Anger/Condemnation
C01437,Negative,Prayer/Religious
C01438,Negative,Anger/Condemnation
C01461,Negative,Victim-blaming
C01463,Negative,Anger/Condemnation
C01467,Neutral,Neutral-Other
C01468,Neutral,Neutral-Other
C01477,Negative,Neutral-Other
C01481,Neutral,Neutral-Other
C01482,Negative,Anger/Condemnation
C01483,Negative,Anger/Condemnation
C01484,Negative,Victim-blaming
C01492,Neutral,Neutral-Other
C01497,Neutral,Neutral-Other
C01504,Negative,Anger/Condemnation
C01514,Negative,Anger/Condemnation
C01515,Negative,Anger/Condemnation
C01518,Negative,Victim-blaming
C01519,Neutral,Neutral-Other
C01520,Negative,Anger/Condemnation
C01526,Negative,Neutral-Other
C01531,Negative,Victim-blaming
C01532,Neutral,Neutral-Other
C01533,Negative,Neutral-Other
C01535,Negative,Anger/Condemnation
C01536,Negative,Anger/Condemnation
C01540,Negative,Anger/Condemnation
C01544,Negative,Prayer/Religious
C01553,Negative,Anger/Condemnation
C01558,Negative,Anger/Condemnation
C01559,Neutral,Neutral-Other
C01560,Negative,Grief/Sympathy
C01561,Negative,Grief/Sympathy
C01565,Negative,Victim-blaming
C01572,Neutral,Neutral-Other
C01590,Neutral,Neutral-Other
C01593,Negative,Victim-blaming
C01595,Negative,Victim-blaming
C01602,Negative,Grief/Sympathy
C01603,Neutral,Neutral-Other
C01606,Negative,Victim-blaming
C01608,Neutral,Neutral-Other
C01614,Neutral,Neutral-Other
C01617,Negative,Grief/Sympathy
C01638,Negative,Neutral-Other
C01640,Neutral,Neutral-Other
C01641,Negative,Grief/Sympathy
C01642,Neutral,Neutral-Other
C01644,Neutral,Neutral-Other
C01654,Neutral,Neutral-Other
C01656,Negative,Neutral-Other
C01659,Negative,Victim-blaming
C01660,Negative,Neutral-Other
C01668,Negative,Neutral-Other
C01669,Negative,Neutral-Other
C01673,Negative,Grief/Sympathy
C01681,Negative,Anger/Condemnation
C01684,Neutral,Neutral-Other
C01686,Negative,Neutral-Other
C01687,Negative,Anger/Condemnation
C01693,Negative,Neutral-Other
C01696,Negative,Neutral-Other
C01702,Neutral,Neutral-Other
C01704,Negative,Neutral-Other
C01713,Negative,Victim-blaming
C01720,Negative,Neutral-Other
C01725,Neutral,Neutral-Other
C01726,Negative,Neutral-Other
C01739,Neutral,Neutral-Other
C01746,Neutral,Neutral-Other
C01749,Neutral,Neutral-Other
C01750,Negative,Neutral-Other
C01753,Negative,Neutral-Other
C01757,Negative,Anger/Condemnation
C01763,Negative,Anger/Condemnation
C01765,Neutral,Neutral-Other
C01767,Negative,Anger/Condemnation
C01768,Neutral,Neutral-Other
C01775,Negative,Anger/Condemnation
C01776,Neutral,Neutral-Other
C01777,Negative,Anger/Condemnation
C01778,Negative,Anger/Condemnation
C01785,Negative,Anger/Condemnation
C01787,Negative,Neutral-Other
C01795,Negative,Neutral-Other
C01802,Negative,Anger/Condemnation
C01808,Negative,Neutral-Other
C01817,Negative,Neutral-Other
C01828,Negative,Neutral-Other
C01829,Negative,Neutral-Other
C01835,Neutral,Prayer/Religious
C01842,Negative,Neutral-Other
C01847,Neutral,Neutral-Other
C01850,Negative,Neutral-Other
C01852,Neutral,Prayer/Religious
C01853,Negative,Neutral-Other
C01856,Negative,Neutral-Other
C01857,Negative,Neutral-Other
C01860,Neutral,Neutral-Other
C01862,Neutral,Prayer/Religious
C01865,Neutral,Prayer/Religious
C01866,Neutral,Prayer/Religious
C01876,Neutral,Prayer/Religious
C01878,Negative,Neutral-Other
C01879,Negative,Neutral-Other
C01881,Neutral,Neutral-Other
C01888,Neutral,Prayer/Religious
C01897,Negative,Anger/Condemnation
C01905,Negative,Anger/Condemnation
C01907,Negative,Anger/Condemnation
C01916,Negative,Anger/Condemnation
C01917,Negative,Neutral-Other
C01928,Negative,Anger/Condemnation
C01935,Negative,Anger/Condemnation
C01944,Negative,Anger/Condemnation
C01945,Negative,Anger/Condemnation
C01948,Negative,Anger/Condemnation
C01952,Negative,Anger/Condemnation
C01966,Neutral,Neutral-Other
C01976,Negative,Neutral-Other
C01988,Negative,Anger/Condemnation
C01996,Negative,Anger/Condemnation
C02008,Neutral,Neutral-Other
C02009,Negative,Anger/Condemnation
C02010,Negative,Neutral-Other
C02017,Negative,Anger/Condemnation
C02019,Negative,Anger/Condemnation
C02025,Negative,Victim-blaming
C02031,Neutral,Neutral-Other
C02033,Neutral,Neutral-Other
C02035,Negative,Anger/Condemnation
C02039,Negative,Anger/Condemnation
C02041,Negative,Anger/Condemnation
C02044,Negative,Anger/Condemnation
C02047,Negative,Grief/Sympathy
C02048,Negative,Anger/Condemnation
C02052,Negative,Anger/Condemnation
C02080,Negative,Anger/Condemnation
C02083,Negative,Anger/Condemnation
C02085,Positive,Prayer/Religious
C02088,Negative,Grief/Sympathy
C02090,Positive,Neutral-Other
C02091,Positive,Prayer/Religious
C02092,Positive,Neutral-Other
C02093,Positive,Neutral-Other
C02097,Neutral,Prayer/Religious
C02103,Positive,Prayer/Religious
C02107,Positive,Prayer/Religious
C02123,Neutral,Prayer/Religious
C02129,Positive,Neutral-Other
C02134,Neutral,Prayer/Religious
C02135,Positive,Neutral-Other
C02139,Positive,Prayer/Religious
C02140,Negative,Anger/Condemnation
C02144,Negative,Neutral-Other
C02153,Neutral,Neutral-Other
C02164,Positive,Neutral-Other
C02168,Negative,Anger/Condemnation
C02174,Negative,Neutral-Other
C02175,Positive,Neutral-Other
C02193,Negative,Neutral-Other
C02198,Negative,Anger/Condemnation
C02210,Negative,Anger/Condemnation
C02235,Negative,Neutral-Other
C02238,Negative,Neutral-Other
C02241,Negative,Anger/Condemnation
C02252,Negative,Anger/Condemnation
C02253,Neutral,Neutral-Other
C02266,Negative,Anger/Condemnation
C02269,Neutral,Neutral-Other
C02285,Neutral,Neutral-Other
C02286,Negative,Anger/Condemnation
C02292,Neutral,Neutral-Other
C02294,Negative,Neutral-Other
C02296,Negative,Anger/Condemnation
